serial,serial_norm,relation_type,color,cycle_id,points_used,slope_pct_per_day,level_now_pct,days_left_est,last_seen,stockout_date,offset_days,reorder_date,should_order_now,rs_n_cycles,rs_mean_cycle_len_days,rs_max_cycle_len_days,rs_last_seen,rs_last_reset,rs_days_since_last_reset,rs_has_reset,us_mean_daily_pct_drop,us_median_daily_pct_drop,us_peak_daily_pct_drop,us_mean_pct_drop_per_cycle,us_has_usage_data,m_total_pages,m_n_records,m_ratio_color,m_ratio_a3,m_daily_mean,m_daily_std,m_total_pages_last30,m_total_pages_last7,month,dayofweek,week,ml_offset_days_v21,last_seen_dt,stockout_date_ml_v21,days_left_ml_v21,reference_date,days_left_v21,contract_no
$3712398760$,$3712398760$,contrat_adex,yellow,0,329,-0.2716,42.0,154.6,2025-03-27 11:02:00,2025-08-29,-11,2025-09-09,False,1,675.0,675,2025-03-27 11:02:00,,,0,0.0641592920353982,0.0,2.0,0.0,1.0,,,,,,,,,3,3,13,-11.730964,2025-03-27 11:02:00,2025-08-17 06:27:24.735717775,142.0,2025-03-27 11:02:00,0.0,$CT000781$
$3712399170$,$3712399170$,contrat_adex,magenta,2,28,-1.1154,0.0,0.0,2026-01-26 14:26:00,2026-01-26,-8,2026-02-03,True,3,55.66666666666666,83,2026-01-26 14:26:00,2025-11-06 14:26:00,81.0,1,1.071095571095571,1.0,35.0,54.333333333333336,1.0,,,,,,,,,1,0,5,-6.472393,2026-01-26 14:26:00,2026-01-19 12:39:45.241699217,0.0,2026-01-26 14:26:00,0.0,$STCT000134$
$3712441720$,$3712441720$,contrat_adex,magenta,0,27,-0.6454,3.0,4.6,2026-01-26 14:41:00,2026-01-31,-8,2026-02-08,False,1,98.0,98,2026-01-26 14:41:00,,,0,0.7163120567375886,1.0,2.0,56.0,1.0,,,,,,,,,1,0,5,-4.237682,2026-01-26 14:41:00,2026-01-26 18:17:44.286804203,0.0,2026-01-26 14:41:00,0.0,$CT001281$
$3717194070$,$3717194070$,contrat_adex,magenta,1,29,-0.926,14.0,15.1,2026-01-26 14:43:00,2026-02-10,-8,2026-02-18,False,2,87.5,101,2026-01-26 14:43:00,2025-10-18 14:43:00,100.0,1,0.8922155688622755,0.0,18.0,78.0,1.0,,,,,,,,,1,0,5,-7.771718,2026-01-26 14:43:00,2026-02-02 05:28:43.562622072,6.0,2026-01-26 14:43:00,6.0,$CT001441$
$3717195336$,$3717195336$,contrat_adex,cyan,0,118,-0.1036,1.0,9.7,2025-10-27 09:45:00,2025-11-06,1,2025-11-05,False,1,83.0,83,2025-10-27 09:45:00,,,0,0.1366666666666666,0.0,1.0,0.0,1.0,,,,,,,,,10,0,44,-1.4320397,2025-10-27 09:45:00,2025-11-04 13:37:51.766662600,8.0,2025-10-27 09:45:00,0.0,$CT001179$
$3717198289$,$3717198289$,contrat_adex,yellow,0,27,-0.4445,0.0,0.0,2026-01-26 14:45:00,2026-01-26,-11,2026-02-06,False,1,175.0,175,2026-01-26 14:45:00,,,0,0.2764550264550264,0.0,2.0,0.0,1.0,,,,,,,,,1,0,5,-7.047942,2026-01-26 14:45:00,2026-01-18 22:50:57.797241208,0.0,2026-01-26 14:45:00,0.0,$CT001079$
$3717198351$,$3717198351$,contrat_adex,yellow,0,101,-0.1755,6.0,34.2,2025-11-13 09:59:00,2025-12-17,-11,2025-12-28,False,1,28.0,28,2025-11-13 09:59:00,,,0,0.2222222222222222,0.0,2.0,4.0,1.0,,,,,,,,,11,3,46,-4.5138755,2025-11-13 09:59:00,2025-12-12 11:40:01.158142086,29.0,2025-11-13 09:59:00,0.0,$CT001141$
$3742398551$,$3742398551$,contrat_adex,black,0,29,-0.2062,1.0,4.8,2026-01-26 14:30:00,2026-01-31,0,2026-01-31,True,1,118.0,118,2026-01-26 14:30:00,,,0,0.2971698113207547,0.0,2.0,32.0,1.0,,,,,,,,,1,0,5,-1.14915,2026-01-26 14:30:00,2026-01-29 20:25:13.438797001,3.0,2026-01-26 14:30:00,2.0,$STCT000479$
$3743004808$,$3743004808$,contrat_adex,cyan,3,27,-3.0428,3.0,1.0,2026-01-26 14:39:00,2026-01-27,1,2026-01-26,True,4,36.0,82,2026-01-26 14:39:00,2025-12-24 14:39:00,33.0,1,1.9754098360655736,1.0,19.0,67.75,1.0,,,,,,,,,1,0,5,-0.059911028,2026-01-26 14:39:00,2026-01-26 22:33:43.687219620,0.0,2026-01-26 14:39:00,0.0,$STCT000853$
$3743004808$,$3743004808$,contrat_adex,yellow,3,17,-2.2791,34.0,14.9,2026-01-26 14:39:00,2026-02-10,-11,2026-02-21,False,4,35.5,92,2026-01-26 14:39:00,2026-01-09 14:39:00,17.0,1,1.7008196721311477,1.0,14.0,56.25,1.0,,,,,,,,,1,0,5,-9.708412,2026-01-26 14:39:00,2026-01-31 06:59:53.188476559,4.0,2026-01-26 14:39:00,4.0,$STCT000853$
$3743021087$,$3743021087$,contrat_adex,yellow,0,27,-0.451,6.0,13.3,2026-01-26 14:32:00,2026-02-08,-11,2026-02-19,False,1,202.0,202,2026-01-26 14:32:00,,,0,0.2992753623188405,0.0,8.0,0.0,1.0,,,,,,,,,1,0,5,-7.035194,2026-01-26 14:32:00,2026-01-31 23:09:19.245300293,5.0,2026-01-26 14:32:00,4.0,$STCT000901$
$3746641183$,$3746641183$,contrat_adex,yellow,1,26,-3.5123,0.0,0.0,2026-01-26 14:39:00,2026-01-26,-11,2026-02-06,False,2,72.0,138,2026-01-26 14:39:00,2025-09-11 14:39:00,137.0,1,0.7633587786259542,0.0,73.0,50.0,1.0,,,,,,,,,1,0,5,-9.039382,2026-01-26 14:39:00,2026-01-16 23:03:17.396850586,0.0,2026-01-26 14:39:00,0.0,$STCT000850$
$3773657610$,$3773657610$,contrat_adex,yellow,1,29,-0.4308,0.0,0.0,2026-01-26 14:40:00,2026-01-26,-11,2026-02-06,False,2,93.0,183,2026-01-26 14:40:00,2025-07-28 14:40:00,182.0,1,0.3687150837988827,0.0,3.0,34.5,1.0,,,,,,,,,1,0,5,-7.448574,2026-01-26 14:40:00,2026-01-18 13:14:03.200683595,0.0,2026-01-26 14:40:00,0.0,$STCT000307$
$3774107982$,$3774107982$,contrat_adex,black,1,60,-16.4716,0.0,0.0,2025-12-04 14:12:00,2025-12-04,0,2025-12-04,True,2,31.5,55,2025-12-04 14:12:00,2025-11-26 14:42:00,7.0,1,2.918032786885246,1.0,93.0,89.0,1.0,,,,,,,,,12,3,49,-0.3788138,2025-12-04 14:12:00,2025-12-03 14:54:30.487403866,0.0,2025-12-04 14:12:00,0.0,$STCT000258$
$3774107982$,$3774107982$,contrat_adex,cyan,1,82,-0.9717,19.0,19.6,2025-12-04 14:12:00,2025-12-24,1,2025-12-23,False,2,31.5,61,2025-12-04 14:12:00,2025-10-04 14:42:00,60.0,1,1.4098360655737705,1.0,8.0,43.0,1.0,,,,,,,,,12,3,49,-0.20350306,2025-12-04 14:12:00,2025-12-23 19:06:57.335844045,19.0,2025-12-04 14:12:00,0.0,$STCT000258$
$3774202535$,$3774202535$,contrat_adex,cyan,2,27,-1.6963,14.0,8.3,2026-01-26 14:31:00,2026-02-03,1,2026-02-02,True,3,42.0,49,2026-01-26 14:31:00,2025-12-12 14:31:00,45.0,1,2.893333333333333,3.0,8.0,90.0,1.0,,,,,,,,,1,0,5,0.45073235,2026-01-26 14:31:00,2026-02-03 10:49:03.275070188,7.0,2026-01-26 14:31:00,7.0,$STCT000339$
$3774282970$,$3774282970$,contrat_adex,magenta,0,29,-0.1985,0.0,0.0,2026-01-26 14:18:00,2026-01-26,-8,2026-02-03,True,1,118.0,118,2026-01-26 14:18:00,,,0,0.4342105263157895,0.0,5.0,0.0,1.0,,,,,,,,,1,0,5,-6.2858214,2026-01-26 14:18:00,2026-01-19 17:08:25.027770996,0.0,2026-01-26 14:18:00,0.0,$CT001501$
$3774337678$,$3774337678$,contrat_adex,yellow,0,20,-1.3699,0.0,0.0,2026-01-26 14:22:00,2026-01-26,-11,2026-02-06,False,1,21.0,21,2026-01-26 14:22:00,,,0,1.3636363636363635,1.0,3.0,0.0,1.0,,,,,,,,,1,0,5,-3.8427072,2026-01-26 14:22:00,2026-01-22 03:46:30.101623536,0.0,2026-01-26 14:22:00,0.0,$STCT000461$
$3774381367$,$3774381367$,contrat_adex,black,1,29,-0.6446,1.0,1.6,2026-01-26 14:18:00,2026-01-28,0,2026-01-28,True,2,59.0,116,2026-01-26 14:18:00,2025-10-03 14:18:00,115.0,1,0.7256637168141593,1.0,3.0,41.5,1.0,,,,,,,,,1,0,5,-1.6981194,2026-01-26 14:18:00,2026-01-26 07:14:42.483673093,0.0,2026-01-26 14:18:00,0.0,$CT001499$
$3774381367$,$3774381367$,contrat_adex,yellow,1,29,-0.5314,4.0,7.5,2026-01-26 14:18:00,2026-02-03,-11,2026-02-14,False,2,59.0,107,2026-01-26 14:18:00,2025-10-12 14:18:00,106.0,1,0.9598214285714286,1.0,3.0,48.0,1.0,,,,,,,,,1,0,5,-4.439535,2026-01-26 14:18:00,2026-01-29 13:27:04.163818361,2.0,2026-01-26 14:18:00,2.0,$CT001499$
$3774417957$,$3774417957$,contrat_adex,cyan,2,27,-1.6241,2.0,1.2,2026-01-26 14:18:00,2026-01-27,1,2026-01-26,True,3,38.0,82,2026-01-26 14:18:00,2025-11-06 14:18:00,81.0,1,2.3748792270531403,1.0,16.0,63.66666666666666,1.0,,,,,,,,,1,0,5,-0.32408884,2026-01-26 14:18:00,2026-01-26 16:13:18.724079134,0.0,2026-01-26 14:18:00,0.0,$STCT000641$
$3775929730$,$3775929730$,contrat_adex,cyan,1,20,-1.0311,9.0,8.7,2026-01-26 14:31:00,2026-02-04,1,2026-02-03,True,2,429.5,748,2026-01-26 14:31:00,2025-10-08 14:31:00,110.0,1,0.1714864083285135,0.0,3.0,45.5,1.0,,,,,,,,,1,0,5,-4.5845838,2026-01-26 14:31:00,2026-01-30 09:58:11.963195798,3.0,2026-01-26 14:31:00,3.0,$CT002967$
$3916893875$,$3916893875$,contrat_adex,cyan,1,29,-0.8456,10.0,11.8,2026-01-26 14:18:00,2026-02-07,1,2026-02-06,False,2,69.5,110,2026-01-26 14:18:00,2025-10-09 14:18:00,109.0,1,0.7575757575757576,0.0,10.0,50.0,1.0,,,,,,,,,1,0,5,-1.9527127,2026-01-26 14:18:00,2026-02-05 01:08:05.626602177,9.0,2026-01-26 14:18:00,9.0,$CT001242$
$3942053508$,$3942053508$,contrat_adex,black,1,29,-0.6952,1.0,1.4,2026-01-26 13:01:00,2026-01-27,0,2026-01-27,True,2,68.5,105,2026-01-26 13:01:00,2025-10-13 14:41:00,104.0,1,0.8776595744680851,1.0,6.0,49.5,1.0,,,,,,,,,1,0,5,-2.4952304,2026-01-26 13:01:00,2026-01-24 12:06:52.090301512,0.0,2026-01-26 13:01:00,0.0,$STCT000355$
