serial,serial_norm,relation_type,color,cycle_id,points_used,slope_pct_per_day,level_now_pct,days_left_est,last_seen,stockout_date,offset_days,reorder_date,should_order_now
$$,$$,contrat_adex,black,49,134,-23.2963,0.0,0.0,2025-10-13 05:55:00,2025-10-13,0,2025-10-13,True
$$,$$,contrat_adex,black,50,339,-1.3486,0.0,0.0,2025-10-14 14:09:00,2025-10-14,0,2025-10-14,True
$$,$$,contrat_adex,black,51,204,-2.8425,0.0,0.0,2025-10-16 02:37:00,2025-10-16,0,2025-10-16,True
$$,$$,contrat_adex,black,52,57,-110.5616,0.0,0.0,2025-10-16 14:03:00,2025-10-16,0,2025-10-16,True
$$,$$,contrat_adex,black,53,85,,0.0,,2025-10-17 06:37:00,,0,,False
$$,$$,contrat_adex,black,54,67,-2.5339,0.0,0.0,2025-10-18 14:19:00,2025-10-18,0,2025-10-18,True
$$,$$,contrat_adex,black,55,266,-2.9341,0.0,0.0,2025-10-21 06:10:00,2025-10-21,0,2025-10-21,True
$$,$$,contrat_adex,black,56,95,-274.5133,0.0,0.0,2025-10-21 14:34:00,2025-10-21,0,2025-10-21,True
$$,$$,contrat_adex,black,57,35,-14.2225,0.0,0.0,2025-10-22 06:00:00,2025-10-22,0,2025-10-22,True
$$,$$,contrat_adex,black,58,157,-2.0681,0.0,0.0,2025-10-23 14:25:00,2025-10-23,0,2025-10-23,True
$$,$$,contrat_adex,black,59,81,-14.8708,0.0,0.0,2025-10-24 13:51:00,2025-10-24,0,2025-10-24,True
$$,$$,contrat_adex,black,60,2,,0.0,,2025-10-24 13:51:00,,0,,False
$$,$$,contrat_adex,black,61,2,,0.0,,2025-10-24 13:51:00,,0,,False
$$,$$,contrat_adex,black,62,26,-2690.4459,0.0,0.0,2025-10-24 13:57:00,2025-10-24,0,2025-10-24,True
$$,$$,contrat_adex,black,63,11,-57600.0,0.0,0.0,2025-10-24 14:00:00,2025-10-24,0,2025-10-24,True
$$,$$,contrat_adex,black,64,104,-1.1578,0.0,0.0,2025-10-27 14:03:00,2025-10-27,0,2025-10-27,True
$$,$$,contrat_adex,black,65,44,-12.8035,0.0,0.0,2025-10-28 14:25:00,2025-10-28,0,2025-10-28,True
$$,$$,contrat_adex,black,66,17,-57.6217,0.0,0.0,2025-10-28 22:24:00,2025-10-28,0,2025-10-28,True
$$,$$,contrat_adex,black,67,25,-138.2465,0.0,0.0,2025-10-29 14:04:00,2025-10-29,0,2025-10-29,True
$$,$$,contrat_adex,black,68,53,-11.4867,0.0,0.0,2025-10-29 22:22:00,2025-10-29,0,2025-10-29,True
$$,$$,contrat_adex,black,69,74,-12.0429,0.0,0.0,2025-10-30 22:28:00,2025-10-30,0,2025-10-30,True
$$,$$,contrat_adex,black,70,668,-1.3347,0.0,0.0,2025-11-02 22:21:00,2025-11-02,0,2025-11-02,True
$$,$$,contrat_adex,black,71,66,-37.5115,0.0,0.0,2025-11-03 06:21:00,2025-11-03,0,2025-11-03,True
$$,$$,contrat_adex,black,72,121,-65.6087,0.0,0.0,2025-11-03 14:16:00,2025-11-03,0,2025-11-03,True
$$,$$,contrat_adex,black,73,35,-10.3171,0.0,0.0,2025-11-04 07:19:00,2025-11-04,0,2025-11-04,True
